,NUMERO_DE_CLIENTE,FOTO_MES,MARKETING_ACTIVO_ULTIMOS90DIAS,CLIENTE_SUCURSAL,CLIENTE_EDAD,CLIENTE_ANTIGUEDAD,MRENTABILIDAD,MRENTABILIDAD_ANNUAL,MCOMISIONES,MACTIVOS_MARGEN,MPASIVOS_MARGEN,MCUENTA_CORRIENTE_PAQUETE,MCAJA_AHORRO_PAQUETE,MCAJA_AHORRO_DOLARES,MDESCUBIERTO_PREACORDADO,MCUENTAS_SALDO,CTARJETA_DEBITO_TRANSACCIONES,MAUTOSERVICIO,CTARJETA_VISA_TRANSACCIONES,MTARJETA_VISA_CONSUMO,MTARJETA_MASTER_CONSUMO,CPRESTAMOS_PERSONALES,MPRESTAMOS_PERSONALES,MPRESTAMOS_PRENDARIOS,MPRESTAMOS_HIPOTECARIOS,MPLAZO_FIJO_DOLARES,MTITULOS,MPLAN_SUELDO,MCUENTA_DEBITOS_AUTOMATICOS,MTTARJETA_VISA_DEBITOS_AUTOMATIC,MTTARJETA_MASTER_DEBITOS_AUTOMAT,MPAGOMISCUENTAS,CCAJEROS_PROPIOS_DESCUENTOS,MCAJEROS_PROPIOS_DESCUENTOS,CTARJETA_VISA_DESCUENTOS,MCOMISIONES_MANTENIMIENTO,CCOMISIONES_OTRAS,MCOMISIONES_OTRAS,MTRANSFERENCIAS_EMITIDAS,CEXTRACCION_AUTOSERVICIO,MEXTRACCION_AUTOSERVICIO,MCHEQUES_DEPOSITADOS,MCHEQUES_EMITIDOS,CCALLCENTER_TRANSACCIONES,CHOMEBANKING_TRANSACCIONES,TCAJAS,MCAJEROS_PROPIO,MASTER_MFINANCIACION_LIMITE,MASTER_MSALDOTOTAL,MASTER_MSALDOPESOS,MASTER_MCONSUMOSPESOS,MASTER_MPAGADO,MASTER_MPAGOSPESOS,MASTER_MPAGOMINIMO,VISA_MARCA_ATRASO,VISA_CUENTA_ESTADO,VISA_MFINANCIACION_LIMITE,VISA_FVENCIMIENTO,VISA_MSALDOTOTAL,VISA_MSALDOPESOS,VISA_MCONSUMOSPESOS,VISA_MPAGADO,VISA_MPAGOSPESOS,VISA_MPAGOMINIMO,CLAVE,meses_activo
606473,8937539,201308,1,2,58,284,170659,2171722,50348,84908,17922,-225778,367029,345,117,319838,13,299484,35,1916393,1065434,1,6140921,0,0,0,0,1950741,371,4974,0,2106,13,0,28,10998,10,57032,101790,11,91260,0,0,0,118,1.0,8190,4191267,5343529,5343529,333362,0,-20592,113022,0,10,4191267,20160531,5384458,5557482,1588925,0,-21060,208962,9138847,14
445376,26408791,201308,1,1115,33,32,123837,118050,6631,42871,6297,-37045,12117,455375,117,456883,4,118731,19,1761258,0,1,973931,0,0,0,0,0,798,0,0,0,4,0,11,27378,6,75112,0,0,0,1571813,0,0,6,0.0,0,3129541,0,0,0,0,0,0,0,10,4191267,20140531,1513877,1771236,1012365,0,-580211,18486,26610099,14
170329,17693965,201309,1,887,69,149,12332,1075465,20404,-10898,3999,-379,268254,13979,117,138159,4,173622,15,531011,0,0,0,0,0,0,75882,0,0,375,0,0,0,0,0,13794,4,22934,0,0,0,0,0,0,16,0.0,0,0,0,0,0,0,0,0,0,10,88452,20140430,451699,510027,218639,0,-396851,12285,17895274,14
455141,19227775,201309,0,1133,0,27,92646,0,55924,19868,11518,0,1121609,0,117,976738,0,0,5,106528,0,1,2041851,980230,0,0,0,0,0,368,0,0,0,0,0,18392,9,63349,0,0,0,17316,0,0,29,1.0,0,78975,0,0,0,0,0,0,0,10,12636,20140731,91966,1076,36839,0,-71536,2808,19429084,14
264406,23815520,201308,1,281,45,108,58764,1861214,54311,-9279,13085,-20701,380722,92,117,93,0,0,33,1629162,1023331,4,6971104,0,0,0,0,0,3272,2421,0,0,0,0,21,27378,10,61522,0,0,0,0,0,0,0,1.0,0,6287564,1014221,1002823,537147,0,-1323815,3042,0,10,6235362,20210930,1393194,1598508,654557,0,-2598844,51129,24016828,14
557918,19772507,201309,1,1445,43,111,118751,1029478,53767,49496,6046,14206,14486,0,117,0,3,158787,24,1330863,0,2,8084336,0,0,0,0,0,0,2106,0,0,0,2106,0,27378,8,60432,0,0,0,40950,0,3,66,0.0,0,3197539,0,0,0,0,-55955,0,0,10,3197539,20150131,1150298,1345848,520506,0,-1373495,65169,19973816,14
172129,18441789,201310,1,575,47,145,13095,667017,4238,-11973,19543,22387,1653404,14,117,1137878,2,28665,0,0,397566,0,0,0,0,0,0,3128112,12,0,3079,1328,0,0,0,0,6,4765,68094,3,29250,0,0,8,151,1.0,29250,31590,399542,399542,307878,0,-301863,10296,0,10,25272,20141031,0,0,0,0,0,0,18643099,14
505238,25073183,201309,1,161,59,102,750,163885,8336,-834,12,-4194,1222,0,117,0,0,0,2,41319,37738,1,349769,0,0,0,0,0,0,0,0,0,0,0,0,9196,2,9369,0,0,0,0,118872,0,0,0.0,0,15795,38538,38538,0,0,-7213,2223,0,10,15795,20150331,35728,41801,0,41801,-64464,2106,25274492,6
187158,7043542,201308,1,560,60,231,134513,1737127,73016,40973,11589,-173816,14569,6542,117,623229,5,17688,61,1278272,285042,3,9608403,0,0,0,0,750789,1426,2861,0,2623,5,0,51,27378,15,8271,851836,0,0,1139261,194220,0,83,1.0,0,306265,288223,288223,220649,288223,-27908,1404,0,10,3129541,20160731,1493399,1135563,865574,0,-1296654,6786,7244850,14
445704,30945983,201308,1,125,47,75,23776,318053,16578,6152,0,-283272,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18392,2,18779,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31147291,14
