age;job;marital;education;default;balance;housing;loan;contact;day;month;duration;campaign;pdays;previous;poutcome;deposit
33;services;married;secondary;no;3444;yes;no;telephone;21;oct;144;1;91;4;failure;yes
56;technician;married;secondary;no;589;yes;no;unknown;23;oct;518;1;147;2;success;yes
34;admin.;married;tertiary;no;899;yes;no;unknown;12;nov;114;1;170;3;failure;yes
53;retired;married;tertiary;no;2269;no;no;cellular;17;nov;1091;2;150;1;success;yes
37;technician;married;secondary;no;5115;yes;no;cellular;17;nov;1210;2;171;4;failure;yes
45;entrepreneur;married;secondary;no;781;no;yes;cellular;17;nov;652;2;126;2;failure;yes
46;unemployed;divorced;secondary;no;3354;yes;no;cellular;19;nov;522;1;174;1;success;yes
40;management;married;tertiary;no;3352;yes;no;cellular;19;nov;639;2;27;1;success;yes
32;technician;married;tertiary;no;4654;yes;yes;cellular;20;nov;276;1;128;2;failure;yes
30;blue-collar;married;secondary;no;501;yes;yes;cellular;20;nov;994;1;177;1;failure;yes
46;technician;married;tertiary;no;0;no;no;cellular;20;nov;531;1;167;1;failure;yes
38;entrepreneur;married;tertiary;no;1110;yes;no;cellular;20;nov;888;2;183;2;failure;yes
32;services;married;secondary;no;983;yes;no;cellular;20;nov;500;2;133;1;failure;yes
31;unemployed;married;secondary;no;314;yes;no;cellular;20;nov;1341;3;178;7;failure;yes
50;blue-collar;married;primary;no;12519;yes;no;cellular;21;nov;615;3;34;1;failure;yes
47;technician;married;secondary;no;0;no;no;cellular;21;nov;591;1;10;1;failure;yes
59;management;married;tertiary;no;7049;no;no;cellular;21;nov;530;1;163;2;failure;yes
31;management;married;secondary;no;8629;yes;no;cellular;21;nov;957;1;184;2;failure;yes
53;blue-collar;married;secondary;no;1777;yes;no;cellular;21;nov;796;5;154;1;failure;yes
31;unknown;married;secondary;no;111;no;no;cellular;21;nov;504;2;93;2;failure;yes
40;technician;single;tertiary;no;1646;yes;no;cellular;2;feb;215;1;242;2;failure;yes
44;unemployed;married;secondary;no;0;yes;no;cellular;2;feb;699;1;272;1;failure;yes
43;admin.;single;secondary;no;-247;yes;yes;cellular;2;feb;751;2;76;4;failure;yes
54;technician;divorced;secondary;no;2156;yes;no;cellular;3;feb;261;1;195;4;failure;yes
31;management;married;tertiary;no;1331;no;no;cellular;3;feb;182;2;90;1;success;yes
28;self-employed;married;tertiary;no;0;yes;no;cellular;4;feb;546;3;196;4;failure;yes
32;admin.;single;secondary;no;678;yes;no;cellular;4;feb;1579;1;246;4;failure;yes
41;self-employed;single;tertiary;no;-94;yes;no;cellular;4;feb;1164;1;203;1;failure;yes
31;technician;single;tertiary;no;1109;no;no;cellular;5;feb;642;1;167;2;failure;yes
26;entrepreneur;single;secondary;no;101;yes;no;cellular;5;feb;810;1;268;1;failure;yes
31;management;single;tertiary;no;12857;yes;no;cellular;6;feb;158;1;92;1;success;yes
33;blue-collar;single;tertiary;no;700;no;no;cellular;9;feb;126;1;88;1;success;yes
34;admin.;married;secondary;no;0;yes;no;cellular;10;feb;97;1;85;1;failure;yes
40;blue-collar;married;secondary;no;5060;no;no;cellular;10;feb;154;2;93;1;success;yes
37;admin.;married;secondary;no;1314;yes;no;cellular;12;feb;118;4;210;3;failure;yes
33;management;single;tertiary;no;3552;no;no;cellular;13;feb;158;2;85;3;failure;yes
30;management;single;tertiary;no;5561;yes;no;cellular;27;feb;195;1;100;1;success;yes
50;management;married;unknown;no;8345;no;no;cellular;27;feb;194;1;261;1;failure;yes
60;retired;married;secondary;no;404;no;no;cellular;5;mar;308;2;196;2;failure;yes
31;management;divorced;tertiary;no;883;yes;no;cellular;5;mar;112;2;106;1;failure;yes
44;management;single;tertiary;no;483;no;no;cellular;6;mar;207;2;199;6;success;yes
37;unemployed;single;tertiary;no;1316;yes;no;cellular;10;mar;350;2;112;3;failure;yes
37;services;single;secondary;no;1045;no;no;cellular;17;mar;406;2;41;1;failure;yes
30;management;married;tertiary;no;8089;yes;no;cellular;18;mar;232;2;294;2;failure;yes
34;technician;married;secondary;no;390;yes;no;cellular;27;mar;95;2;231;2;failure;yes
50;management;married;tertiary;no;414;yes;no;cellular;3;apr;707;1;302;3;failure;yes
55;blue-collar;divorced;secondary;no;1613;yes;no;cellular;3;apr;296;1;270;3;failure;yes
41;self-employed;married;secondary;no;3123;yes;no;cellular;3;apr;1203;2;135;2;failure;yes
54;entrepreneur;divorced;unknown;no;4736;yes;no;telephone;6;apr;475;6;307;5;failure;yes
33;technician;single;tertiary;no;127;yes;no;cellular;6;apr;583;2;222;17;failure;yes
37;admin.;married;secondary;no;1207;yes;no;telephone;6;apr;1353;2;138;2;success;yes
48;management;married;secondary;no;4415;yes;no;cellular;8;apr;1032;3;141;7;failure;yes
32;technician;married;secondary;no;303;yes;no;cellular;8;apr;150;1;267;4;failure;yes
38;blue-collar;single;secondary;no;2580;yes;no;cellular;8;apr;1691;2;264;3;failure;yes
41;services;married;secondary;no;803;yes;no;cellular;9;apr;592;4;316;3;failure;yes
33;technician;single;secondary;no;719;yes;no;cellular;9;apr;448;2;316;6;failure;yes
45;blue-collar;married;secondary;no;96;yes;no;cellular;13;apr;348;3;256;2;failure;yes
33;management;married;tertiary;no;0;yes;no;cellular;14;apr;535;3;328;1;failure;yes
33;admin.;single;secondary;no;572;yes;no;cellular;14;apr;344;1;74;2;failure;yes
44;admin.;divorced;secondary;no;0;no;no;cellular;14;apr;1594;1;148;1;failure;yes
43;services;married;primary;no;2557;yes;no;telephone;15;apr;165;2;327;3;failure;yes
32;services;married;secondary;no;1129;yes;no;cellular;15;apr;903;2;341;2;failure;yes
38;management;single;tertiary;no;6158;yes;no;cellular;15;apr;139;5;145;9;failure;yes
52;entrepreneur;single;tertiary;no;3469;yes;no;cellular;16;apr;583;1;147;1;success;yes
35;technician;married;secondary;no;545;yes;no;cellular;16;apr;1579;1;234;4;failure;yes
32;services;married;secondary;no;1273;yes;no;cellular;16;apr;1365;2;328;1;failure;yes
32;technician;single;tertiary;no;932;yes;no;cellular;16;apr;944;1;318;1;failure;yes
40;services;divorced;primary;no;471;yes;no;cellular;16;apr;1156;1;345;2;failure;yes
