,CLASE_BIN
372545,0
437150,0
831700,0
397230,0
574247,0
13440,0
424639,0
814512,0
706781,0
833251,0
306838,0
988804,0
842693,0
978890,0
976234,0
121918,0
1000967,0
513508,0
550213,0
433452,0
676420,0
706428,0
699287,0
12182,0
458333,0
201436,0
103705,0
953286,0
239640,0
248584,0
970648,0
230205,0
190393,0
383884,0
92887,0
495670,0
876926,0
608208,0
816941,0
754847,0
941331,0
257918,0
772543,0
727465,0
222061,0
649259,0
706778,0
65535,0
406598,0
442567,0
1001896,0
17267,0
864068,0
773678,0
873554,0
15101,0
146410,0
296714,0
381164,0
94213,0
902912,0
937966,0
271298,0
410613,0
775869,0
454259,0
535588,0
283483,0
782592,0
758514,0
33012,0
432559,0
669638,0
487518,0
532079,0
906438,0
244471,0
651596,0
254562,0
542743,0
1019894,0
426507,0
717635,0
658281,0
626012,0
791059,0
826305,0
963616,0
272893,0
936483,0
761929,0
793187,0
196832,0
451329,0
557246,0
145625,0
313954,0
414416,0
882282,0
858241,0
506248,0
455927,0
571390,0
445025,0
725942,0
629786,0
169072,0
42885,0
916143,0
716914,0
918043,0
1024051,0
562916,0
403508,0
5823,0
455821,0
322755,0
466199,0
115590,0
3823,0
559129,0
436715,0
764508,0
469812,0
599825,0
16969,0
324088,0
345145,0
779735,0
168437,0
491119,0
617541,0
703368,0
273437,0
986304,0
256050,0
103127,0
44437,0
58163,0
541015,0
648510,0
996532,0
975109,0
241133,0
692258,0
880363,0
166365,0
835959,0
943621,0
384338,0
866190,0
639525,0
52619,0
585286,0
45436,0
583057,0
199542,0
89597,0
364829,0
663551,0
285004,0
740385,0
435235,0
1013912,0
119540,0
992324,0
831067,0
609803,0
552510,0
569809,0
799890,0
819540,0
637495,0
133690,0
114730,0
895845,0
833094,0
707000,0
72908,0
1018413,0
973926,0
997934,0
657539,0
323121,0
433554,0
517229,0
530554,0
974333,0
841158,0
560841,0
318060,0
951328,0
773786,0
309626,0
674493,0
62756,0
1029197,0
679028,0
443382,0
229669,0
683269,0
1017906,0
909084,0
342297,0
588292,0
97086,0
942128,0
827445,0
73779,0
299643,0
242866,0
502958,0
246788,0
924371,0
652881,0
510600,0
829636,0
303425,0
118892,0
657007,0
558838,0
878630,0
4242,0
