,CLASE_BIN
606473,0
445376,0
170329,0
455141,0
264406,0
557918,0
172129,0
505238,0
187158,0
445704,0
523166,0
40410,0
266850,0
483810,0
10831,0
52641,0
422412,0
498970,0
515576,0
5142,0
25676,0
246750,0
296464,0
538717,0
388138,0
381473,0
348996,0
70452,0
560768,0
229166,0
568114,0
88119,0
605070,0
328341,0
168348,0
129984,0
140935,0
73292,0
467941,0
250598,0
539780,0
435621,0
342361,0
293048,0
62976,0
601615,0
461865,0
125331,0
278944,0
405595,0
216086,0
449853,0
394782,0
205470,0
354716,0
493192,0
225678,0
182674,0
415873,0
372666,0
537376,0
67094,0
422497,0
95759,0
258149,0
347938,0
8891,0
372382,0
36352,0
585906,0
398211,0
66929,0
194720,0
507627,0
428748,0
484814,0
577458,0
516993,0
558366,0
1674,0
160203,0
85616,0
457068,0
251860,0
507877,0
248760,0
386868,0
280513,0
167631,0
167078,0
565925,0
572793,0
555647,0
322520,0
14053,0
347424,0
12799,0
130600,0
481084,0
538621,0
466220,0
28100,0
152027,0
556775,0
200015,0
96673,0
250647,0
113642,0
380044,0
499232,0
196690,0
578464,0
281073,0
376786,0
40591,0
328804,0
245909,0
297277,0
53141,0
324718,0
165080,0
41953,0
220880,0
581494,0
410827,0
357050,0
489822,0
86628,0
211613,0
251790,0
282422,0
363361,0
276069,0
508522,0
498905,0
179025,0
281928,0
84053,0
378965,0
590524,0
245560,0
354531,0
80074,0
456700,0
350084,0
147065,0
345298,0
360227,0
433284,0
165513,0
297971,0
551021,0
63638,0
118485,0
265846,0
108227,0
504809,0
72698,0
44393,0
46015,0
353933,0
129735,0
518931,0
238190,0
487512,0
180652,0
104247,0
34221,0
376379,0
98924,0
364352,0
316829,0
76118,0
497034,0
169176,0
493251,0
15586,0
163074,0
512625,0
195754,0
323927,0
140450,0
10206,0
448051,0
137732,0
164016,0
250030,0
481544,0
504351,0
556137,0
415672,0
150814,0
281228,0
347135,0
532713,0
400374,0
327248,0
525129,0
141621,0
113125,0
45910,0
203948,0
183115,0
475239,0
390902,0
438864,0
423233,0
307550,0
537505,0
42627,0
215556,0
312426,0
582086,0
225765,0
143284,0
11348,0
519013,0
301895,0
582404,0
527930,0
510225,0
310333,0
543444,0
374701,0
1181,0
205189,0
93813,0
410975,0
567965,0
22396,0
395241,0
401504,0
470442,0
391099,0
359786,0
217988,0
525351,0
478637,0
292515,0
594883,0
382669,0
362225,0
269055,0
167082,0
426374,0
198262,0
412609,0
272903,0
78709,0
323460,0
573420,0
338017,0
141390,0
6019,0
295192,0
563736,0
198291,0
171877,0
504122,0
31245,0
488610,0
338910,0
246140,0
432720,0
443027,0
440136,0
515088,0
325526,0
523854,0
197844,0
556332,0
529261,0
62176,0
360030,0
89134,0
522894,0
564230,0
271267,0
250368,0
262169,0
213535,0
2647,0
102593,0
538629,0
498157,0
435474,0
101240,0
375566,0
17112,0
135088,0
368044,0
165999,0
264907,0
144173,0
330393,0
414670,0
109197,0
41145,0
32136,0
449864,0
426698,0
318221,0
134375,0
349838,0
198994,0
543133,0
580087,0
378286,0
40955,0
197934,0
326236,0
181988,0
123985,0
374206,0
288092,0
333810,0
593090,0
541419,0
268267,0
567174,0
335460,0
110326,0
505657,0
213033,0
12521,0
6110,0
8403,0
104028,0
88336,0
604374,0
223530,0
495000,0
293780,0
520966,0
185583,0
537067,0
89733,0
491262,0
295957,0
484771,0
581015,0
586654,0
239943,0
352289,0
599932,0
68303,0
219344,0
327492,0
222852,0
239002,0
398338,0
480980,0
192643,0
138253,0
601360,0
71404,0
188684,0
352459,0
461979,0
290473,0
65487,0
499325,0
236355,0
498082,0
251895,0
545285,0
19965,0
227880,0
557692,0
205303,0
42391,0
371107,0
211537,0
606476,0
404303,0
58368,0
547530,0
352078,0
304663,0
513066,0
161762,0
62280,0
394068,0
590076,0
138456,0
506052,0
392654,0
217428,0
218310,0
105336,0
165854,0
572437,0
461209,0
532605,0
169530,0
96061,0
603874,0
356160,0
186920,0
50604,0
104000,0
351279,0
379134,0
339794,0
170071,0
299982,0
474363,0
186633,0
307346,0
10404,0
123168,0
574809,0
101938,0
156936,0
166485,0
168679,0
548632,0
436254,0
38062,0
287846,0
509814,0
141901,0
382681,0
587549,0
186885,0
40266,0
133942,0
489152,0
227154,0
113065,0
486633,0
2519,0
500748,0
217832,0
578658,0
372564,0
463224,0
129224,0
81206,0
557598,0
413710,0
269166,0
429875,0
403989,0
353724,0
195806,0
338476,0
556555,0
182710,0
126103,0
393440,0
518917,0
57468,0
601721,0
302585,0
509183,0
535224,0
49430,0
193418,0
381377,0
608332,0
225118,0
351101,0
523996,0
602110,0
411372,0
374049,0
586308,0
133900,0
305685,0
372491,0
431152,0
199447,0
219396,0
273580,0
93258,0
21070,0
120655,0
159201,0
189200,0
369724,0
98906,0
512999,0
194212,0
430853,0
437031,0
392387,0
110131,0
537248,0
43174,0
351048,0
17478,0
430420,0
390343,0
470486,0
374157,0
15160,0
305726,0
457613,0
393121,0
27390,0
280222,0
175676,0
445042,0
606881,0
110751,0
393767,0
440350,0
524383,0
586707,0
456949,0
83361,0
432226,0
610155,0
124648,0
502183,0
517138,0
121397,0
154112,0
295384,0
121904,0
158644,0
112981,0
468669,0
84698,0
606553,0
140710,0
126992,0
284887,0
351004,0
94703,0
530957,0
303763,0
232767,0
532065,0
356695,0
234800,0
265458,0
591478,0
509923,0
350132,0
249082,0
174532,0
367094,0
481033,0
259107,0
474748,0
569462,0
21217,0
446335,0
225711,0
288426,0
94529,0
32955,0
467844,0
591539,0
299640,0
426974,0
12297,0
316948,0
263235,0
365142,0
546260,0
291723,0
133171,0
237767,0
101523,0
182334,0
31,0
403557,0
610206,0
36153,0
217320,0
62110,0
364751,0
406837,0
429593,0
13323,0
101162,0
55823,0
326584,0
588350,0
533372,0
388689,0
517090,0
287380,0
479832,0
65542,0
526018,0
481264,0
53128,0
336376,0
93142,0
512233,0
434194,0
302858,0
478494,0
413518,0
16112,0
523750,0
10113,0
399588,0
372426,0
145088,0
197534,0
568829,0
409100,0
570033,0
59596,0
269741,0
350985,0
442687,0
50566,0
247086,0
141599,0
563775,0
446060,0
352280,0
569457,0
8303,0
459070,0
357859,0
322818,0
21206,0
33378,0
528254,0
394155,0
261830,0
381875,0
478781,0
439843,0
50714,0
288494,0
324795,0
541422,0
29661,0
532109,0
538215,0
585037,0
73779,0
274669,0
449662,0
269612,0
40393,0
109983,0
290517,0
559948,0
429478,0
111128,0
307313,0
545328,0
61895,0
395093,0
183073,0
406958,0
53733,0
135772,0
369553,0
116952,0
529744,0
524400,0
59400,0
307299,0
463850,0
231389,0
280444,0
163779,0
487359,0
192774,0
371909,0
537238,0
595866,0
132357,0
459183,0
373876,0
350865,0
567543,0
191410,0
475958,0
137218,0
27752,0
177839,0
96663,0
461182,0
142717,0
549250,0
466206,0
368431,0
218671,0
218950,0
451484,0
282673,0
191674,0
169995,0
196799,0
451823,0
185786,0
227942,0
207967,0
338246,0
358008,0
599309,0
44638,0
163630,0
603080,0
237337,0
435030,0
583630,0
321375,0
494981,0
573994,0
503416,0
544404,0
485346,0
208481,0
244641,0
320174,0
7817,0
524215,0
310596,0
189340,0
413808,0
334642,0
411317,0
438662,0
251699,0
57178,0
323741,0
495899,0
385838,0
490901,0
550554,0
562178,0
251862,0
120660,0
290056,0
394354,0
594738,0
158725,0
224051,0
370496,0
34984,0
217365,0
348607,0
286911,0
204072,0
449332,0
250103,0
349635,0
464213,0
5245,0
363885,0
506030,0
264681,0
133436,0
251666,0
275895,0
453083,0
542923,0
328028,0
24955,0
393677,0
427409,0
380997,0
282378,0
400116,0
340813,0
513528,0
91525,0
66379,0
433344,0
144929,0
179000,0
464774,0
339982,0
563916,0
159097,0
75081,0
590110,0
509590,0
144847,0
373881,0
464264,0
19253,0
114579,0
335224,0
577856,0
592550,0
207878,0
372749,0
159720,0
129634,0
362280,0
441921,0
341509,0
328545,0
344607,0
574716,0
590961,0
332137,0
447065,0
135835,0
122763,0
375465,0
221487,0
590537,0
31942,0
461456,0
572916,0
509395,0
5090,0
507489,0
518548,0
343767,0
405957,0
458102,0
471187,0
204311,0
212059,0
562933,0
448022,0
420464,0
554837,0
131979,0
409992,0
4197,0
233891,0
357481,0
169350,0
436234,0
470918,0
484287,0
37568,0
275031,0
413639,0
18719,0
448593,0
327190,0
150428,0
544128,0
461258,0
318344,0
524226,0
136224,0
273457,0
583378,0
244324,0
519596,0
514793,0
34323,0
368469,0
394177,0
211518,0
89954,0
267834,0
190212,0
201319,0
535503,0
64496,0
339141,0
58556,0
443500,0
116085,0
144548,0
416526,0
261139,0
599720,0
8844,0
261791,0
380537,0
528548,0
505111,0
483147,0
266459,0
40611,0
249690,0
319564,0
150187,0
255663,0
125471,0
222301,0
384840,0
369942,0
147148,0
125012,0
571524,0
365246,0
517534,0
104027,0
583406,0
369623,0
135782,0
354392,0
147684,0
297861,0
172929,0
185741,0
215182,0
493106,0
505735,0
287585,0
351018,0
260138,0
461172,0
456962,0
544776,0
185446,0
339220,0
604626,0
151355,0
406896,0
45965,0
117141,0
206892,0
127945,0
25079,0
539925,0
105756,0
456748,0
403581,0
354478,0
67307,0
83496,0
190549,0
284386,0
559433,0
304363,0
555889,0
407242,0
408009,0
429921,0
239832,0
552160,0
422195,0
185094,0
413671,0
114880,0
310392,0
284445,0
154831,0
124247,0
591730,0
238666,0
102360,0
502499,0
594600,0
405632,0
397105,0
582296,0
164132,0
552850,0
235705,0
472139,0
331572,0
344529,0
227642,0
486125,0
517157,0
117033,0
511267,0
139589,0
590433,0
272791,0
495700,0
522409,0
19430,0
205966,0
116332,0
130967,0
581501,0
56599,0
372077,0
201138,0
7763,0
169460,0
425922,0
193398,0
101948,0
33883,0
202350,0
96922,0
380000,0
77195,0
230263,0
596381,0
294402,0
396658,0
565350,0
238375,0
201348,0
403760,0
52819,0
206760,0
520904,0
435674,0
464572,0
318506,0
349844,0
140859,0
563492,0
378277,0
174267,0
227043,0
42753,0
414662,0
188509,0
138290,0
360197,0
112706,0
18099,0
544348,0
239141,0
451654,0
498626,0
335180,0
458260,0
589305,0
228238,0
463295,0
61508,0
244386,0
194471,0
138592,0
521353,0
330954,0
473428,0
424946,0
456078,0
150918,0
61825,0
118545,0
222012,0
68318,0
301277,0
525078,0
398118,0
139003,0
228338,0
59946,0
187868,0
74547,0
562567,0
27616,0
116037,0
549485,0
402743,0
434207,0
146660,0
22560,0
335522,0
190881,0
68074,0
210406,0
281476,0
54693,0
280293,0
251389,0
460560,0
143475,0
459931,0
285714,0
269060,0
147955,0
533105,0
278984,0
439489,0
96505,0
167004,0
250182,0
360127,0
176459,0
604993,0
604081,0
262327,0
434527,0
345234,0
226718,0
178721,0
303118,0
360114,0
66998,0
35109,0
337648,0
376131,0
494410,0
271699,0
414167,0
509717,0
363433,0
377580,0
388320,0
603159,0
365863,0
563270,0
65296,0
502821,0
278864,0
379956,0
18632,0
94194,0
16136,0
23153,0
495256,0
399682,0
14639,0
265130,0
546639,0
323410,0
57121,0
227673,0
435738,0
53099,0
366801,0
94035,0
606891,0
108537,0
307258,0
424903,0
504856,0
77343,0
138387,0
91012,0
97790,0
542694,0
64294,0
399929,0
537095,0
451635,0
404184,0
240573,0
580029,0
189302,0
196365,0
579991,0
462249,0
441615,0
297963,0
305970,0
11024,0
421283,0
291958,0
312226,0
104033,0
162289,0
128403,0
605443,0
464325,0
18734,0
244457,0
249545,0
396554,0
67194,0
236857,0
543140,0
237925,0
124099,0
136490,0
326297,0
391747,0
607744,0
262573,0
26829,0
415206,0
340553,0
153414,0
375584,0
11583,0
394009,0
118239,0
295418,0
214706,0
177655,0
534540,0
19638,0
377962,0
215475,0
394806,0
328513,0
59022,0
144232,0
227448,0
513167,0
335390,0
41796,0
419929,0
500735,0
125736,0
151249,0
267431,0
481983,0
538574,0
113651,0
232606,0
45422,0
325218,0
8270,0
286226,0
50410,0
257511,0
104221,0
582148,0
354654,0
573361,0
62661,0
445603,0
228209,0
463531,0
517359,0
378439,0
573968,0
276564,0
122205,0
186951,0
128768,0
280693,0
463327,0
353891,0
371033,0
309723,0
570732,0
551525,0
315176,0
106568,0
399938,0
321635,0
257164,0
126952,0
421429,0
547982,0
92082,0
52181,0
20617,0
397514,0
125407,0
440537,0
169246,0
112249,0
129182,0
460065,0
473499,0
424266,0
565196,0
191927,0
86886,0
225375,0
131353,0
326542,0
263258,0
280436,0
395869,0
40257,0
140103,0
547214,0
377182,0
162068,0
464455,0
540248,0
289051,0
49558,0
24638,0
157111,0
345659,0
136099,0
509951,0
414715,0
333973,0
158721,0
335816,0
495155,0
376021,0
119835,0
182484,0
362537,0
105853,0
9476,0
296409,0
483123,0
173517,0
148691,0
282228,0
300476,0
378328,0
486686,0
578783,0
174462,0
167300,0
13941,0
300754,0
76375,0
72456,0
381612,0
304287,0
34641,0
458086,0
439370,0
271372,0
304142,0
176141,0
468382,0
182423,0
27949,0
320639,0
45528,0
196703,0
105491,0
552186,0
159990,0
577033,0
250261,0
10169,0
320317,0
186457,0
517072,0
118583,0
565171,0
445892,0
200588,0
494412,0
44107,0
279234,0
399798,0
154607,0
67572,0
23216,0
352101,0
362935,0
468185,0
199625,0
493941,0
291464,0
188200,0
367994,0
508838,0
338720,0
275032,0
477825,0
85791,0
138094,0
465012,0
368893,0
173485,0
502358,0
526686,0
347287,0
237833,0
279538,0
497908,0
261751,0
506799,0
343109,0
43581,0
3892,0
52563,0
194898,0
173592,0
211561,0
54241,0
69252,0
481044,0
582584,0
317782,0
468038,0
556948,0
300927,0
230944,0
426835,0
207908,0
157431,0
10020,0
521306,0
560493,0
247005,0
127738,0
545434,0
561887,0
560567,0
609728,0
269810,0
58030,0
601521,0
48517,0
192825,0
587358,0
487572,0
173286,0
270721,0
578958,0
56015,0
443517,0
545667,0
575746,0
581460,0
383862,0
485096,0
342683,0
540326,0
491646,0
580734,0
399953,0
6903,0
520921,0
193863,0
609910,0
215073,0
588536,0
124885,0
279181,0
518656,0
121418,0
9616,0
433834,0
456688,0
157788,0
335872,0
196823,0
97704,0
96243,0
535146,0
178440,0
47584,0
517445,0
430104,0
574062,0
319545,0
527542,0
461061,0
595137,0
54094,0
117780,0
223947,0
441099,0
185310,0
19034,0
114001,0
606841,0
15180,0
50348,0
83026,0
475035,0
261757,0
98691,0
170203,0
467385,0
268453,0
507465,0
581677,0
497976,0
368002,0
537803,0
33601,0
54718,0
98454,0
562571,0
532030,0
483185,0
587570,0
380171,0
159026,0
89386,0
393625,0
599479,0
265372,0
172627,0
156494,0
456255,0
469746,0
459028,0
280314,0
71470,0
411434,0
577488,0
268509,0
494667,0
127250,0
465929,0
270441,0
162513,0
527418,0
246547,0
365676,0
6426,0
26484,0
86164,0
25583,0
576149,0
348441,0
605696,0
390970,0
276293,0
588498,0
365409,0
199471,0
17656,0
59708,0
442241,0
193026,0
337582,0
413996,0
393416,0
414120,0
13279,0
81702,0
422015,0
187958,0
290964,0
195240,0
236375,0
93478,0
347313,0
527211,0
526172,0
350202,0
465002,0
607407,0
180978,0
577820,0
350629,0
509997,0
79642,0
490555,0
234950,0
357168,0
509129,0
548772,0
513015,0
110182,0
448584,0
213217,0
95780,0
412457,0
402086,0
127281,0
548623,0
221745,0
586955,0
30657,0
585963,0
301228,0
453122,0
109045,0
323507,0
313933,0
345552,0
408995,0
190202,0
526572,0
374317,0
606222,0
160196,0
515659,0
248242,0
276363,0
217987,0
411640,0
299946,0
476778,0
597411,0
147779,0
110401,0
36275,0
285096,0
247098,0
80028,0
18188,0
145302,0
46380,0
49051,0
83048,0
364748,0
592515,0
169647,0
93549,0
461521,0
461556,0
573298,0
610723,0
278190,0
324368,0
406421,0
150563,0
452893,0
