,CLASE_BIN
531214,0
26250,0
810061,0
72758,0
825946,0
962785,0
583600,0
908460,0
141132,0
289898,0
484962,0
790707,0
631032,0
46737,0
178705,0
874427,0
232453,0
960718,0
479693,0
542732,0
528416,0
416483,0
744136,0
171434,0
811600,0
627478,0
203039,0
200120,0
66435,0
516065,0
135515,0
338629,0
282862,0
306558,0
164780,0
565473,0
433154,0
250935,0
450575,0
689463,0
43939,0
128582,0
770866,0
205606,0
129446,0
91870,0
42809,0
469404,0
135180,0
895935,0
290892,0
819161,0
890663,0
482369,0
698263,0
317520,0
101745,0
846338,0
95472,0
228114,0
717409,0
997055,0
809496,0
84976,0
798305,0
78876,0
475557,0
95685,0
300418,0
670125,0
247487,0
831244,0
136838,0
84555,0
338743,0
120008,0
545348,0
827937,0
333827,0
1000672,0
218226,0
9124,0
850530,0
935666,0
524716,0
909741,0
265391,0
421277,0
153381,0
998969,0
928980,0
482051,0
648018,0
46465,0
817388,0
31278,0
783168,0
212434,0
546765,0
522689,0
38499,0
803324,0
67412,0
895594,0
515219,0
186381,0
433120,0
112041,0
606975,0
523048,0
164235,0
547477,0
482209,0
194090,0
75741,0
422431,0
109315,0
250878,0
282867,0
185896,0
852368,0
837746,0
788041,0
29383,0
506893,0
152997,0
782656,0
616228,0
144989,0
1025893,0
546515,0
865620,0
41236,0
266139,0
827279,0
474484,0
191542,0
509197,0
552493,0
449371,0
228136,0
181151,0
940734,0
145735,0
430360,0
183644,0
791565,0
538660,0
186985,0
435951,0
557837,0
75871,0
154626,0
314781,0
74914,0
429281,0
128795,0
854384,0
16160,0
784216,0
108618,0
249835,0
44451,0
72228,0
118163,0
845442,0
156463,0
658500,0
196800,0
471605,0
699522,0
265569,0
30164,0
627083,0
18981,0
46608,0
962705,0
815786,0
662933,0
524970,0
143085,0
212255,0
498833,0
1017014,0
403759,0
12159,0
75595,0
327805,0
716863,0
981327,0
594439,0
218901,0
686773,0
50073,0
242432,0
933466,0
485893,0
626357,0
607848,0
100455,0
215462,0
1011235,0
820900,0
590235,0
203414,0
168929,0
716457,0
115654,0
456724,0
834364,0
214092,0
567272,0
479159,0
686906,0
10643,0
870684,0
895274,0
427556,0
271588,0
345335,0
539146,0
620316,0
837812,0
842052,0
416747,0
51300,0
216890,0
875869,0
23058,0
22633,0
362222,0
47461,0
560127,0
929808,0
90502,0
30406,0
100687,0
877058,0
624294,0
486531,0
610511,0
599314,0
921008,0
145406,0
98443,0
783775,0
1014463,0
3373,0
42148,0
612073,0
477232,0
127907,0
305847,0
23103,0
148338,0
391095,0
19778,0
724907,0
578678,0
594555,0
299467,0
416222,0
815049,0
670034,0
852837,0
162099,0
138872,0
92329,0
47091,0
599148,0
832330,0
416975,0
919199,0
362928,0
820005,0
96542,0
236481,0
467191,0
520944,0
648364,0
88915,0
15573,0
936634,0
821356,0
625782,0
643162,0
848393,0
1019746,0
135919,0
187437,0
630207,0
175089,0
1024064,0
70484,0
198800,0
627263,0
813310,0
186817,0
870514,0
687729,0
170697,0
720325,0
632513,0
6839,0
895123,0
294064,0
526215,0
265312,0
535973,0
970082,0
608933,0
514835,0
58108,0
851117,0
161858,0
192999,0
64235,0
931543,0
609260,0
312672,0
970906,0
123472,0
636659,0
157825,0
112543,0
448991,0
544615,0
164860,0
442850,0
838543,0
624628,0
47172,0
973536,0
408888,0
841764,0
892308,0
111402,0
902181,0
615075,0
657950,0
76696,0
444643,0
776583,0
548155,0
65179,0
260656,0
589975,0
473084,0
127772,0
529243,0
226805,0
614415,0
196498,0
739134,0
820059,0
45259,0
506103,0
158589,0
31247,0
480062,0
625386,0
534570,0
430586,0
552241,0
218288,0
450271,0
374998,0
895978,0
176693,0
59764,0
215939,0
776950,0
60118,0
70992,0
172478,0
17836,0
484602,0
417027,0
636255,0
819979,0
190892,0
850860,0
564806,0
1013850,0
303052,0
816087,0
158505,0
232869,0
414927,0
228661,0
78405,0
188311,0
107871,0
186328,0
849465,0
72377,0
602789,0
322707,0
565181,0
192731,0
510029,0
355662,0
613447,0
432262,0
778473,0
413110,0
811974,0
183839,0
472229,0
446793,0
517869,0
840140,0
815870,0
9959,0
930811,0
18649,0
47073,0
98886,0
275202,0
949058,0
453960,0
471907,0
863743,0
282666,0
6344,0
584639,0
271420,0
362236,0
177070,0
174225,0
427061,0
307501,0
392541,0
76594,0
427460,0
931416,0
547748,0
201122,0
817404,0
484523,0
555129,0
513919,0
465708,0
403064,0
114678,0
866933,0
37211,0
849952,0
595464,0
368729,0
565167,0
76147,0
852114,0
637962,0
99039,0
705775,0
215056,0
162097,0
134538,0
430226,0
894426,0
212830,0
1014766,0
275937,0
408125,0
852511,0
100672,0
6858,0
245472,0
865322,0
306722,0
176830,0
269857,0
822750,0
522397,0
743270,0
200017,0
290823,0
8246,0
392011,0
317199,0
65420,0
539828,0
529285,0
338732,0
118766,0
857850,0
405357,0
819798,0
61625,0
141902,0
483448,0
211945,0
93928,0
108021,0
816182,0
326786,0
308067,0
636976,0
588952,0
1017274,0
589022,0
232865,0
502829,0
209235,0
16398,0
846030,0
791769,0
782053,0
193689,0
250754,0
856977,0
350029,0
239789,0
147586,0
58382,0
337805,0
320351,0
470885,0
870328,0
589309,0
178819,0
101713,0
27371,0
398236,0
934132,0
724780,0
449860,0
902738,0
202409,0
644471,0
519905,0
842325,0
791602,0
452930,0
16196,0
26073,0
781788,0
27232,0
104981,0
431941,0
568081,0
398978,0
928315,0
11923,0
629388,0
647362,0
686961,0
497941,0
574969,0
255361,0
332848,0
32599,0
429063,0
399602,0
416906,0
21313,0
820353,0
72082,0
663956,0
540683,0
229543,0
625059,0
638598,0
133560,0
920795,0
143885,0
256458,0
982209,0
902425,0
391260,0
13890,0
1021277,0
427412,0
451800,0
997871,0
418884,0
1021835,0
131613,0
349251,0
87321,0
100036,0
338390,0
46425,0
77837,0
109963,0
819928,0
883110,0
91103,0
451106,0
196853,0
142700,0
63679,0
632797,0
551598,0
453633,0
138545,0
114137,0
76208,0
398593,0
519186,0
86114,0
948755,0
687456,0
85757,0
949741,0
928434,0
266220,0
454669,0
612651,0
167156,0
800346,0
428630,0
87624,0
189295,0
225941,0
909089,0
459066,0
282559,0
441677,0
212117,0
853474,0
149898,0
190453,0
50057,0
190427,0
638724,0
467949,0
869928,0
215657,0
272532,0
441445,0
129105,0
48315,0
451583,0
103056,0
228823,0
306053,0
194346,0
777874,0
46454,0
479425,0
486867,0
896717,0
172272,0
65869,0
845101,0
366217,0
881673,0
229687,0
13421,0
705341,0
530578,0
511181,0
491894,0
473966,0
639941,0
218799,0
9370,0
278045,0
833602,0
962377,0
123648,0
778525,0
190649,0
876896,0
935733,0
894643,0
517592,0
453227,0
678233,0
56348,0
482690,0
880878,0
607658,0
830593,0
506877,0
182273,0
366053,0
831462,0
129546,0
889120,0
8138,0
463671,0
204961,0
451020,0
283946,0
59485,0
711786,0
49285,0
631738,0
131686,0
614557,0
179521,0
848666,0
876400,0
539917,0
421071,0
68259,0
624817,0
215957,0
932827,0
233803,0
144022,0
516279,0
485022,0
151426,0
484372,0
628657,0
784698,0
812911,0
307510,0
545939,0
644523,0
90120,0
167231,0
228435,0
981560,0
584482,0
48226,0
587646,0
189776,0
202312,0
110300,0
647409,0
699310,0
165403,0
515053,0
803746,0
743168,0
88830,0
1010999,0
628230,0
627856,0
874403,0
548047,0
228020,0
919927,0
284213,0
677395,0
128316,0
783485,0
817003,0
856539,0
821553,0
1000877,0
725739,0
610236,0
743100,0
530760,0
583474,0
833927,0
38991,0
3877,0
30984,0
811183,0
884996,0
177700,0
458553,0
777783,0
864695,0
483200,0
999932,0
288290,0
686623,0
466597,0
26188,0
1018934,0
514513,0
136163,0
558598,0
523576,0
740761,0
528575,0
458650,0
248949,0
588227,0
241653,0
307643,0
782237,0
290559,0
97455,0
546134,0
582936,0
441174,0
274,0
449893,0
362660,0
606600,0
150900,0
439459,0
305267,0
594159,0
46770,0
249088,0
808897,0
93276,0
574539,0
156439,0
535599,0
914161,0
442957,0
636406,0
463276,0
782534,0
94892,0
640178,0
381370,0
54270,0
30116,0
450893,0
51753,0
103132,0
151109,0
577860,0
908945,0
837295,0
589143,0
117908,0
249490,0
40788,0
839014,0
475507,0
896897,0
936638,0
465687,0
852701,0
631552,0
930449,0
32174,0
381145,0
59397,0
847854,0
472239,0
441751,0
226563,0
237172,0
374777,0
542887,0
413745,0
451164,0
190905,0
912781,0
889099,0
961663,0
223726,0
180274,0
622368,0
134209,0
785106,0
510131,0
85180,0
472288,0
847347,0
39548,0
72210,0
654931,0
23784,0
452315,0
165542,0
644599,0
621794,0
87122,0
224482,0
47676,0
314273,0
486791,0
111713,0
426371,0
385449,0
35520,0
156330,0
44248,0
398972,0
1013607,0
855484,0
549450,0
445097,0
537139,0
312502,0
46998,0
218623,0
282214,0
524566,0
903373,0
235567,0
80914,0
337744,0
776322,0
864491,0
211964,0
550478,0
712104,0
153102,0
470622,0
171538,0
464786,0
124065,0
412977,0
687514,0
1010192,0
404492,0
382607,0
599798,0
431417,0
150963,0
813721,0
79782,0
559620,0
402662,0
303593,0
137376,0
879888,0
306493,0
42498,0
612758,0
536754,0
869591,0
14146,0
408862,0
250793,0
498587,0
177206,0
648240,0
620713,0
203286,0
924411,0
882446,0
84665,0
518414,0
64091,0
888936,0
467155,0
173813,0
402916,0
5539,0
502357,0
459301,0
255969,0
116082,0
800156,0
165080,0
644571,0
787381,0
183234,0
135321,0
645203,0
26296,0
496860,0
466741,0
924056,0
825266,0
846579,0
464125,0
633119,0
268178,0
